Column,title,date_created,keywords,media_type,description,nasa_id,links
11,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort listen as Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate speaks, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070008,https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~medium.jpg
12,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, Matthew Pearce, NASA Early Career Research Program (ECR), Washington",image,"Matthew Pearce, education officer at NASA’s Goddard Institute for Space Studies and project lead for the Climate Change Research Initiative (CCRI), speaks with the CCRI cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070013,https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~medium.jpg
13,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, Matthew Pearce, NASA Early Career Research Program (ECR), Washington",image,"Matthew Pearce, education officer at NASA’s Goddard Institute for Space Studies and project lead for the Climate Change Research Initiative (CCRI), speaks with the CCRI cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070012,https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~medium.jpg
14,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070016,https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~medium.jpg
15,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Jack Kaye, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Jack Kaye, associate director for research in the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070010,https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~medium.jpg
16,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), Cynthia Hall, DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Cynthia Hall, support scientist for the Early Career Research Program in NASA’s Earth Science Division, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070011,https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~medium.jpg
17,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070020,https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~medium.jpg
18,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Kate Calvin, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Kate Calvin, NASA’s Chief Scientist, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070001,https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~medium.jpg
19,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Jack Kaye, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Jack Kaye, associate director for research in the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070009,https://images-assets.nasa.gov/image/NHQ202408070009/NHQ202408070009~medium.jpg
20,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070017,https://images-assets.nasa.gov/image/NHQ202408070017/NHQ202408070017~medium.jpg
21,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"The Climate Change Research Initiative (CCRI) cohort poses for a group photo, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070015,https://images-assets.nasa.gov/image/NHQ202408070015/NHQ202408070015~medium.jpg
22,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Kate Calvin, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Kate Calvin, NASA’s Chief Scientist, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070005,https://images-assets.nasa.gov/image/NHQ202408070005/NHQ202408070005~medium.jpg
23,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,"Global Warming, Temperature Trend, Precipitation, Climate Change, Climate Patterns, Earth",video,"New data visualizations from the NASA Center for Climate Simulation and NASA's Scientific Visualization Studio show how climate models – those used in the new report from the United Nations' Intergovernmental Panel on Climate Change (IPCC) – estimate how temperature and precipitation patterns could change throughout the 21st century. For the IPCC's Physical Science Basis and Summary for Policymakers reports, scientists referenced an international climate modeling effort to study how the Earth might respond to four different scenarios of how much carbon dioxide and other greenhouse gases would be emitted into the atmosphere throughout the 21st century. The Summary for Policymakers, the first official piece of the group's Fifth Assessment Report, was released Fri., Sept. 27.  That modeling effort, called the Coupled Model Intercomparison Project Phase 5 (CMIP5), includes dozens of climate models from institutions around the world, including from NASA's Goddard Institute for Space Studies.  To produce visualizations that show temperature and precipitation changes similar to those included in the IPCC report, the NASA Center for Climate Simulation calculated mean model results for each of the four emissions scenarios. The final products are visual representations how much temperature and precipitation patterns would change through 2100 compared to the historical average from the end of the 20th century. The changes shown compare the model projections to the average temperature and precipitation benchmarks observed from 1971-2000. This baseline is different from the IPCC report, which uses a 1986-2005 baseline. Because the reference period from 1986-2005 was slightly warmer than 1971-2000, the visualizations are slightly different than those in the report, even though the same model data is used.",GSFC_20130927_IPCC m11376_21st,https://images-assets.nasa.gov/video/GSFC_20130927_IPCC m11376_21st/GSFC_20130927_IPCC m11376_21st~large.jpg
24,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Karen St. Germain, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level.  Photo Credit: (NASA/Joel Kowsky)",NHQ202408070006,https://images-assets.nasa.gov/image/NHQ202408070006/NHQ202408070006~medium.jpg
25,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Karen St. Germain, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level.  Photo Credit: (NASA/Joel Kowsky)",NHQ202408070004,https://images-assets.nasa.gov/image/NHQ202408070004/NHQ202408070004~medium.jpg
26,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington, Yaítza Luna-Cruz",image,"Yaítza Luna-Cruz, a program executive in the Earth Science Division of NASA’s Science Mission Directorate and program manager for the Early Career Research Program, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070002,https://images-assets.nasa.gov/image/NHQ202408070002/NHQ202408070002~medium.jpg
27,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), Cynthia Hall, DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington, Yaítza Luna-Cruz",image,"Cynthia Hall, support scientist for the Early Career Research Program in NASA’s Earth Science Division, right, and Yaítza Luna-Cruz, a program executive in the Earth Science Division of NASA’s Science Mission Directorate and program manager for the Early Career Research Program speak to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070003,https://images-assets.nasa.gov/image/NHQ202408070003/NHQ202408070003~medium.jpg
28,A Summer ABoVE the Warming Arctic,2017-12-12,"Carbon Release, Carbon Sink, Climate, Climate Indicators, Organic Matter, Permafrost, Arctic, Climate Change, Earth, Wildfires",video,"Scientists with NASA's Arctic Boreal Vulnerability Experiment - ABoVE - are studying how the Arctic region responds to climate change. Looking at everything from thawing permafrost underground to wildfires, the researchers are working to create a comprehensive picture of the warming Arctic.  This summer, the team brought a fleet of planes to fly over Alaska and Canada and gather data to complement measurements taken from the ground. The ABoVE campaign is designed to last for ten years.",GSFC_20171212_ABoVE_m12794_Arctic,https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic~large.jpg
29,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,"Sea Ice, Temperature, Temperature Trend, Climate Indicators, Climate Change, Earth",video,"Two key climate change indicators have broken numerous records through the first half of 2016, according to NASA analyses of ground-based observations and satellite data. Each of the first six months of 2016 set a record as the warmest respective month globally in the modern temperature record, which dates to 1880. Meanwhile, five of the first six months set records for the smallest monthly Arctic sea ice extent since consistent satellite records began in 1979. NASA researchers are in the field this summer, collecting data to better understand our changing climate.  While these two key climate indicators have broken records of late, NASA scientists said it is more significant that global temperature and Arctic sea ice are continuing their decades-long trends of change. Both trends are ultimately driven by rising atmospheric concentrations of heat-trapping carbon dioxide and greenhouse gases as a result of fossil fuel burning and deforestation. These rising concentrations directly cause warming of the atmosphere and ocean, which in turn induce sea ice melt.  NASA tracks temperature and sea ice as part of its effort to understand the Earth as a system and to understand how Earth is changing. In addition to maintaining a fleet of 20 Earth-observing satellite missions, NASA also sends researchers around the globe to investigate different facets of the planet at closer range. Right now, NASA researchers are working across the Arctic to better understand both the processes driving increased sea ice melt and the impacts of rising temperatures on Arctic ecosystems.",GSFC_20160719_SeaIce_m12306_Climate,https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate~large.jpg
30,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,"climate, earth, taira allen, kate calvin, michelle hawkins, climate change, extreme weather, NSL, NASA Science Live",video,"As Earth’s climate changes, we’re seeing shifts in the intensity of events such as record-breaking heat waves, severe floods, prolonged droughts, devastating wildfires and stronger hurricanes. Join NASA’s Chief Scientist Dr. Kate Calvin and climate expert Dr. Michelle Hawkins on Wednesday, August 21 at 3:00 p.m. ET on NASA Science Live as they discuss the science behind these changes. Have questions? Use #askNASA.----- Tahira Allen, NASA Communications Dr. Kate Calvin, NASA Chief Scientist and Senior Climate Advisor  Dr. Michelle Hawkins, Program Manager, NASA Climate Resilience and Community Action",GSFC_NSL_ExtremeWeather_Ep57,https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57~large.jpg
31,Ask A Climate Scientist - Lagging CO2,2013-09-24,"Climate Change, Earth",video,"Is there any merit to the studies that show that historical CO2 levels lag behind temperature, and not lead them? Climate scientist Peter Hildebrand, Director of the Earth Science Division at NASA's Goddard Space Flight Center, says yes, there's merit to those studies. In the pre-industrial age, the CO2 response to temperature was that the temperature would go up and CO2 would go up. Or if the temperature went down, CO2 would go down. And the reason for that is when the temperature went up, the whole biosphere revved up and emitted CO2, and we had more CO2 in the atmosphere. So we understand that process.  In the post-industrial age, the opposite is true. Increasing CO2 in the atmosphere is leading to increased temperature. So two different things happened, one pre-industrial, where temperature was driving the CO2, and post-industrial, where CO2 was driving temperature. Which means a completely different physical-biological process is going on. And we don't understand what the consequence of that change is.  It is a fundamental change to how the earth works and the earth's radiation balance works. And so, we're very concerned because we don't see any restraining force on continued increase in temperature due to continued increase in CO2. And that's a problem.",GSFC_20130924_AACS_m11362_CO2Lag,https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag~large.jpg
32,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,"NSL, NASA Science Live, Climate, Climate Change, Megan Cruz, Gavin Schidt, Kate Calvin, Global Temperatures",video,"This summer, Earth has experienced some of the hottest temperatures on record and July is shaping up to follow this record-breaking trend. Join NASA climate experts Monday, August 14 at 3:30pm ET as they discuss impacts of climate change. Submit your questions using #askNASA.",20230814_NSL_Climate_Ep48,https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48~large.jpg
33,NASA Tracks the Future of Asia's Glaciers,2019-06-26,"Himalaya, Watershed, Glacial Landforms, Climate Change, Earth, Floods, Freshwater",video,"Asia’s high mountains are a crucial freshwater source to one-seventh of the world’s population. Snow and glaciers in these mountains contain the largest volume of freshwater outside of Earth's polar ice sheets, leading hydrologists to nickname this region the Third Pole.   Rapid changes in the region's climate are affecting glacier flows and snowmelt. Local people are already modifying their land-use practices in response to the changing supply, and the region's ecology is transforming. Scientists estimate that by 2100, these glaciers could be up to 75% smaller in volume.   NASA's satellites observe and measure snow and ice cover remotely with multiple types of sensors. This allows scientists to create an authoritative estimate of the water budget of this region and a set of products local policy makers can use in responding to hazards and planning for a changing water supply.",GSFC_20190626_Glaciers_m13243_Asia,https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia~large.jpg
34,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,"Earth Science, Vice President, Kamala Harris, NASA Administrator, Bill Nelson, Goddard Visit, Tour, climate change, climate studies, GSFC",video,"The urgency of Earth science and climate studies took the spotlight Friday, Nov. 5, as U.S. Vice President Kamala Harris visited NASA’s Goddard Space Flight Center in Greenbelt, Maryland. Alongside NASA Administrator Bill Nelson, the vice president received a firsthand look at how NASA studies climate change and provides crucial information to understand our planet’s changes and their impacts on our lives.",GSFC_20211105_M14017_VP_Harris,https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris~large.jpg
35,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,"ScienceCasts, ISS, International Space Station, photography, astronaut, climate change, disaster response",video,"Stunning images of Earth captured by crew members on the International Space Station are actively supporting life on our planet, helping monitor climate change, and advancing our understanding of Earth’s changing landscapes.",322_SS101-CEO,https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO~large.jpg
36,Salt of the Earth,2009-10-12,"Physical Oceanography, Oceans, Ocean Circulation, Thermohaline Circulation, Salinity, Aquarius, Climate Change, Earth Science Week, Earth",video,"Salinity plays a major role in how ocean waters circulate around the globe. Salinity changes can create ocean circulation changes that, in turn, may impact regional and global climates. The extent to which salinity impacts our global ocean circulation is still relatively unknown, but NASA's new Aquarius mission will help advance that understanding by painting a global picture of our planet's salty waters.",GSFC_20091012_Aquarius_m10504_Salt,https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt~large.jpg
37,KSC-2011-2637,2011-03-30,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.    Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2637,https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~medium.jpg
